,EntryPrice,ExitPrice,Side,ProfitLoss
0,55,40,long,-1.108695652173913
1,56,40,long,-1.173913043478261
2,57,40,long,-1.2391304347826086
3,58,40,long,-1.3043478260869565
4,59,40,long,-1.3695652173913044
5,60,40,long,-1.434782608695652
6,61,40,long,-1.5
7,62,40,long,-1.565217391304348
8,63,40,long,-1.0869565217391304
9,64,40,long,-1.1304347826086956
10,65,40,long,-1.173913043478261
11,66,40,long,-1.2173913043478262
12,67,40,long,-1.2608695652173914
13,68,40,long,-1.3043478260869565
14,69,40,long,-0.6739130434782609
15,70,40,long,-0.6956521739130435
16,71,40,long,-1.434782608695652
17,72,40,long,-1.4782608695652173
18,73,40,long,-1.5217391304347827
19,74,40,long,-1.565217391304348
