,OptSeries,Side,Exits,EntryTTX,EntryPrice,Invested,ExitTTX,ExitPrice,ProfitLoss,%Return
46,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",5,63,64,5,75,10,15.625
47,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",5,64,65,5,75,9,13.846153846153847
48,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",5,65,66,5,75,8,12.121212121212121
49,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",5,66,67,5,75,7,10.447761194029852
50,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",5,67,68,5,75,6,8.823529411764707
51,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",5,68,69,5,75,5,7.246376811594203
52,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",5,69,70,5,75,4,5.714285714285714
53,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",5,70,71,5,75,3,4.225352112676056
54,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",5,71,72,5,75,2,2.7777777777777777
55,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",5,72,73,5,75,1,1.36986301369863
56,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",5,73,74,5,75,0,0.0
57,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",5,74,75,5,75,-1,-1.3333333333333333
58,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",4,64,65,4,75,9,13.846153846153847
59,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",4,65,66,4,75,8,12.121212121212121
60,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",4,66,67,4,75,7,10.447761194029852
61,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",4,67,68,4,75,6,8.823529411764707
62,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",4,68,69,4,75,5,7.246376811594203
63,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",4,69,70,4,75,4,5.714285714285714
64,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",4,70,71,4,75,3,4.225352112676056
65,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",4,71,72,4,75,2,2.7777777777777777
66,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",4,72,73,4,75,1,1.36986301369863
67,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",4,73,74,4,75,0,0.0
68,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",4,74,75,4,75,-1,-1.3333333333333333
69,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",9,71,72,9,75,2,2.7777777777777777
70,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",9,72,73,9,75,1,1.36986301369863
71,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",9,73,74,9,75,0,0.0
72,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",9,74,75,9,75,-1,-1.3333333333333333
73,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,55,56,7,40,-17,-30.357142857142858
74,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,56,57,7,40,-18,-31.57894736842105
75,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,57,58,7,40,-19,-32.758620689655174
76,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,58,59,7,40,-20,-33.898305084745765
77,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,59,60,7,40,-21,-35.0
78,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,60,61,7,40,-22,-36.0655737704918
79,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,61,62,7,40,-23,-37.096774193548384
80,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,62,63,7,40,-24,-38.095238095238095
81,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,63,64,7,40,-25,-39.0625
82,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,64,65,7,40,-26,-40.0
83,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,65,66,7,40,-27,-40.90909090909091
84,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,66,67,7,40,-28,-41.791044776119406
85,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,67,68,7,40,-29,-42.64705882352941
86,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,68,69,7,40,-30,-43.47826086956522
87,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,69,70,7,40,-31,-44.285714285714285
88,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,70,71,7,40,-32,-45.070422535211264
89,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,71,72,7,40,-33,-45.833333333333336
90,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,72,73,7,40,-34,-46.57534246575342
91,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,73,74,7,40,-35,-47.2972972972973
92,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",8,74,75,7,40,-36,-48.0
93,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",7,55,56,7,40,-17,-30.357142857142858
94,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",7,56,57,7,40,-18,-31.57894736842105
95,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",7,57,58,7,40,-19,-32.758620689655174
96,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",7,58,59,7,40,-20,-33.898305084745765
97,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",7,59,60,7,40,-21,-35.0
98,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",7,60,61,7,40,-22,-36.0655737704918
99,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",7,61,62,7,40,-23,-37.096774193548384
100,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",7,62,63,7,40,-24,-38.095238095238095
101,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",6,55,56,6,40,-17,-30.357142857142858
102,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",6,56,57,6,40,-18,-31.57894736842105
103,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",6,57,58,6,40,-19,-32.758620689655174
104,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",6,58,59,6,40,-20,-33.898305084745765
105,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",6,59,60,6,40,-21,-35.0
106,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",6,60,61,6,40,-22,-36.0655737704918
107,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",6,61,62,6,40,-23,-37.096774193548384
108,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",6,62,63,6,40,-24,-38.095238095238095
109,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",6,63,64,6,40,-25,-39.0625
110,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",6,64,65,6,40,-26,-40.0
111,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",6,65,66,6,40,-27,-40.90909090909091
112,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",6,66,67,6,40,-28,-41.791044776119406
