,EntryPrice,ExitPrice,Side,ProfitLoss
0,55,40,long,-0.7391304347826086
1,56,40,long,-0.782608695652174
2,57,40,long,-0.8260869565217391
3,58,40,long,-0.8695652173913043
4,59,40,long,-0.9130434782608695
5,60,40,long,-0.9565217391304348
6,61,40,long,-1.0
7,62,40,long,-1.0434782608695652
8,63,40,long,-0.7246376811594203
9,63,75,long,0.14492753623188406
10,64,40,long,-0.7536231884057971
11,64,75,long,0.2608695652173913
12,65,40,long,-0.782608695652174
13,65,75,long,0.2318840579710145
14,66,40,long,-0.8115942028985508
15,66,75,long,0.2028985507246377
16,67,40,long,-0.8405797101449275
17,67,75,long,0.17391304347826086
18,68,40,long,-0.8695652173913043
19,68,75,long,0.14492753623188406
20,69,40,long,-0.4492753623188406
21,69,75,long,0.11594202898550725
22,70,40,long,-0.463768115942029
23,70,75,long,0.08695652173913043
24,71,40,long,-0.4782608695652174
25,71,75,long,0.08695652173913043
26,72,40,long,-0.4927536231884058
27,72,75,long,0.043478260869565216
28,73,40,long,-0.5072463768115942
29,73,75,long,0.0
30,74,40,long,-0.5217391304347826
31,74,75,long,-0.043478260869565216
