,EntryPrice,ExitPrice,Side,ProfitLoss
0,30,60,short,-1.1428571428571428
1,31,60,short,-1.1071428571428572
2,32,60,short,-1.0714285714285714
3,33,60,short,-1.0357142857142858
4,34,60,short,-2.0
5,35,60,short,-1.9285714285714286
6,36,60,short,-1.8571428571428572
7,37,60,short,-1.7857142857142858
8,38,60,short,-1.7142857142857142
9,39,60,short,-1.6428571428571428
10,40,60,short,-1.5714285714285714
11,41,60,short,-1.5
12,42,60,short,-1.4285714285714286
13,43,60,short,-1.3571428571428572
14,44,60,short,-1.2857142857142858
15,45,60,short,-1.2142857142857142
