,EntryPrice,ExitPrice,Side,ProfitLoss
0,55,50,long,-0.30434782608695654
1,56,50,long,-0.34782608695652173
2,57,50,long,-0.391304347826087
3,58,50,long,-0.43478260869565216
4,59,50,long,-0.4782608695652174
5,60,50,long,-0.5217391304347826
6,61,50,long,-0.5652173913043478
7,62,50,long,-0.6086956521739131
8,63,50,long,-0.43478260869565216
9,63,80,long,0.21739130434782608
10,64,50,long,-0.463768115942029
11,64,80,long,0.4057971014492754
12,65,50,long,-0.4927536231884058
13,65,80,long,0.37681159420289856
14,66,50,long,-0.5217391304347826
15,66,80,long,0.34782608695652173
16,67,50,long,-0.5507246376811594
17,67,80,long,0.3188405797101449
18,68,50,long,-0.5797101449275363
19,68,80,long,0.2898550724637681
20,69,50,long,-0.30434782608695654
21,69,80,long,0.2608695652173913
22,70,50,long,-0.3188405797101449
23,70,80,long,0.2318840579710145
24,71,50,long,-0.6666666666666666
25,71,80,long,0.2028985507246377
26,72,50,long,-0.6956521739130435
27,72,80,long,0.17391304347826086
28,73,50,long,-0.7246376811594203
29,73,80,long,0.14492753623188406
30,74,50,long,-0.7536231884057971
31,74,80,long,0.11594202898550725
